	SRR6924534	SRR6924535	SRR6924536	SRR6924547	SRR6924548	SRR6924549
gene:Bcin01g01560	1	0	0	0	0	0
gene:Bcin01g01570	8172	8456	5958	1674	1331	1256
gene:Bcin01g01580	142	145	116	119	66	78
gene:Bcin01g01590	1105	869	151	2922	8608	3924
gene:Bcin01g01600	76	84	82	40	26	33
gene:Bcin01g01610	35	37	46	61	36	39
gene:Bcin01g01620	60	79	43	132	160	125
gene:Bcin01g01630	232	273	175	409	465	401
gene:Bcin01g01640	4	5	2	1	2	2
gene:Bcin01g01650	0	1	0	0	0	4
gene:Bcin01g01660	1	0	0	0	1	0
gene:Bcin01g01670	13	14	7	1	0	0
gene:Bcin01g01680	2119	2240	1492	242	190	172
gene:Bcin01g01690	5	4	2	0	1	0
gene:Bcin01g01700	2125	2747	1980	2440	1910	1584
gene:Bcin01g01710	2246	2517	2236	2612	2257	1764
gene:Bcin01g01720	4586	5077	4350	3030	2851	2430
gene:Bcin01g01730	95	127	81	132	81	82
gene:Bcin01g01740	93	136	101	142	79	82
gene:Bcin01g01750	0	0	1	0	1	0
gene:Bcin01g01760	871	961	1121	7029	7744	6583
gene:Bcin01g01770	455	599	423	407	284	300
gene:Bcin01g01780	185	186	216	277	184	177
gene:Bcin01g01790	937	1117	444	472	276	232
gene:Bcin01g01800	30739	31578	26575	43071	34138	31529
gene:Bcin01g01810	260	311	204	233	157	205
gene:Bcin01g01820	1227	1272	1248	1562	1031	1082
gene:Bcin01g01830	1651	1690	1965	1733	1569	1258
gene:Bcin01g01840	297	274	241	466	317	273
gene:Bcin01g01850	952	911	886	823	619	518
gene:Bcin01g01860	612	608	483	920	795	689
gene:Bcin01g01870	245	284	237	373	240	234
gene:Bcin01g01880	56	76	63	98	39	49
gene:Bcin01g01890	1560	1845	1591	1577	1303	1058
gene:Bcin01g01900	3730	3956	3717	3377	2836	2451
gene:Bcin01g01910	1737	2093	1629	1025	964	729
gene:Bcin01g01920	219	258	202	244	207	144
gene:Bcin01g01930	1	4	0	11	7	5
gene:Bcin01g01940	329	424	285	335	215	194
gene:Bcin01g01950	394	378	394	469	471	351
gene:Bcin01g01960	138	160	100	123	67	89
gene:Bcin01g01970	238	226	182	274	162	194
gene:Bcin01g01980	67	56	56	40	35	38
gene:Bcin01g01990	406	387	305	452	294	271
gene:Bcin01g02000	2700	3157	2570	4765	4229	3461
gene:Bcin01g02010	176	170	64	31	26	23
gene:Bcin01g02020	1352	1517	1323	1299	923	745
gene:Bcin01g02030	1156	1378	1053	750	639	566
gene:Bcin01g02040	1171	1360	1177	1515	1082	1007
gene:Bcin01g02050	7469	8373	7359	8666	8462	6611
gene:Bcin01g02060	668	674	500	452	403	351
gene:Bcin01g02070	714	765	701	691	520	463
