	SRR6924534	SRR6924535	SRR6924536	SRR6924547	SRR6924548	SRR6924549
gene:Bcin03g06040	741	735	657	518	418	352
gene:Bcin03g06050	176	165	124	205	117	133
gene:Bcin03g06060	418	453	357	395	280	297
gene:Bcin03g06070	341	480	323	339	369	235
gene:Bcin03g06080	4784	5962	4306	3572	2692	2469
gene:Bcin03g06090	6044	6640	4787	5984	5602	4570
gene:Bcin03g06100	1088	1269	1042	1045	813	635
gene:Bcin03g06110	425	459	581	1409	783	669
gene:Bcin03g06120	1331	1509	1268	2012	1728	1533
gene:Bcin03g06130	982	1013	959	914	725	600
gene:Bcin03g06140	386	549	409	448	325	256
gene:Bcin03g06150	843	939	739	786	442	434
gene:Bcin03g06160	183	202	168	266	424	248
gene:Bcin03g06170	32460	34337	28871	45775	38830	35592
gene:Bcin03g06180	2620	2556	2736	6542	4192	3578
gene:Bcin03g06190	2314	3026	1195	2709	2861	3242
gene:Bcin03g06200	2782	3740	2503	3759	3470	3159
gene:Bcin03g06210	352	426	340	610	558	402
gene:Bcin03g06220	1378	1668	1095	1656	1466	1459
gene:Bcin03g06230	522	576	442	466	342	304
gene:Bcin03g06240	713	833	681	1195	1138	841
gene:Bcin03g06250	3894	4429	3381	3816	2603	2627
gene:Bcin03g06260	188	178	155	152	143	129
gene:Bcin03g06270	1081	1114	944	1257	887	838
gene:Bcin03g06280	692	646	656	1208	674	614
gene:Bcin03g06290	1617	1882	1315	1413	1440	1183
gene:Bcin03g06300	827	1002	724	495	448	354
gene:Bcin03g06310	14	15	14	22	25	15
gene:Bcin03g06320	11	26	6	22	45	23
gene:Bcin03g06330	240	168	232	122	286	330
gene:Bcin03g06340	1993	2821	1390	1414	1707	1692
gene:Bcin03g06350	726	798	548	591	622	459
gene:Bcin03g06360	4202	5373	3246	2906	3795	2894
gene:Bcin03g06370	16067	16117	16104	18142	20158	12728
gene:Bcin03g06380	333	304	279	235	216	179
gene:Bcin03g06390	6924	8041	6529	8893	7640	5904
gene:Bcin03g06400	38	33	15	49	35	28
gene:Bcin03g06410	106	197	92	71	105	87
gene:Bcin03g06420	1206	1579	1057	1319	908	759
gene:Bcin03g06430	631	747	997	840	785	471
gene:Bcin03g06440	255	253	251	201	164	158
gene:Bcin03g06450	598	642	486	318	339	241
gene:Bcin03g06460	3	1	3	116	106	45
gene:Bcin03g06470	10	9	12	14	21	9
gene:Bcin03g06480	48	72	56	53	60	32
gene:Bcin03g06490	226	287	185	170	213	143
gene:Bcin03g06500	915	1342	1129	750	536	478
gene:Bcin03g06510	655	832	653	559	433	362
gene:Bcin03g06520	3640	3876	2931	2626	2481	2194
gene:Bcin03g06530	23498	24334	20444	21614	19794	16257
gene:Bcin03g06540	423	420	317	276	195	220
gene:Bcin03g06550	208	280	191	832	1094	726
gene:Bcin03g06560	860	897	635	1555	1150	1078
gene:Bcin03g06570	432	505	345	217	127	123
gene:Bcin03g06580	5397	5971	5531	6637	5779	4910
gene:Bcin03g06590	379	425	293	743	582	530
gene:Bcin03g06600	76396	61746	89088	28503	20960	23660
gene:Bcin03g06610	124	105	138	693	969	309
gene:Bcin03g06620	1	1	1	1	2	0
gene:Bcin03g06630	2481	3051	3151	19082	21632	9683
gene:Bcin03g06640	23	26	27	99	64	29
gene:Bcin03g06650	0	1	1	3	1	1
gene:Bcin03g06660	3	8	19	35	31	26
gene:Bcin03g06670	0	3	0	259	151	136
gene:Bcin03g06680	0	1	0	247	266	140
gene:Bcin03g06690	4	6	8	30	30	12
gene:Bcin03g06700	0	2	1	39	30	25
gene:Bcin03g06710	11	13	7	15	10	9
gene:Bcin03g06720	419	458	452	454	350	264
gene:Bcin03g06730	2574	3112	2175	4665	4302	3534
gene:Bcin03g06740	23	31	27	130	159	70
gene:Bcin03g06750	0	0	0	0	0	0
gene:Bcin03g06760	0	0	0	0	0	0
gene:Bcin03g06770	0	0	0	0	0	0
gene:Bcin03g06780	0	1	3	0	3	1
gene:Bcin03g06790	5	5	4	15	6	6
gene:Bcin03g06800	10	16	12	24	15	13
gene:Bcin03g06810	9816	10746	6959	5416	5672	4299
gene:Bcin03g06820	1756	1970	1610	1304	1057	829
gene:Bcin03g06830	1836	1650	1541	3263	2540	1407
gene:Bcin03g06840	2133	2223	1802	3220	4992	3408
gene:Bcin03g06850	449	552	431	509	415	345
gene:Bcin03g06860	582	641	605	768	686	570
gene:Bcin03g06870	3	1	2	15	12	13
gene:Bcin03g06880	0	0	1	4	3	2
gene:Bcin03g06890	354	378	318	259	175	169
gene:Bcin03g06900	8	10	4	10	13	19
gene:Bcin03g06910	2320	2773	2195	1915	1526	1233
gene:Bcin03g06920	484	569	456	293	377	291
gene:Bcin03g06930	21	34	8	80	391	172
gene:Bcin03g06940	9293	10668	7477	11721	8437	7507
gene:Bcin03g06950	290	270	270	437	396	311
gene:Bcin03g06960	136	145	118	122	80	87
gene:Bcin03g06970	17710	17509	16520	23357	23536	19656
gene:Bcin03g06980	657	680	608	945	688	581
gene:Bcin03g06990	16361	16486	14616	19201	17163	14223
gene:Bcin03g07000	249	270	217	197	145	151
gene:Bcin03g07010	149	175	135	164	130	130
gene:Bcin03g07020	8685	8391	7852	11457	14763	9897
gene:Bcin03g07030	928	1053	690	1730	1707	1263
gene:Bcin03g07040	9	7	5	16	12	17
gene:Bcin03g07050	2655	3022	2668	5997	7145	5822
gene:Bcin03g07060	137	63	63	153	61	38
gene:Bcin03g07070	347	406	356	356	214	233
gene:Bcin03g07080	3727	3830	2849	5921	4532	3722
gene:Bcin03g07090	2	2	0	4	9	9
gene:EFBcG00000013090	0	0	0	0	0	0
gene:ENSRNA049513225	0	0	0	0	0	0
gene:Bcin03g07100	883	1081	845	929	737	607
gene:Bcin03g07110	13218	13538	11598	17158	13584	12461
gene:Bcin03g07120	19144	19599	17764	21992	22594	18057
gene:Bcin03g07130	460	516	382	628	616	483
gene:Bcin03g07140	292	318	330	306	256	185
gene:Bcin03g07150	397	397	301	346	255	251
gene:Bcin03g07160	1	2	2	1	1	2
gene:Bcin03g07170	6	14	6	13	10	5
gene:Bcin03g07180	1176	1477	745	97	48	58
gene:Bcin03g07190	2829	3126	2896	2601	3397	2426
gene:Bcin03g07200	578	475	453	552	464	397
gene:Bcin03g07210	752	916	401	671	551	407
gene:Bcin03g07220	3	2	1	2	5	3
gene:Bcin03g07230	362	450	258	531	650	439
gene:Bcin03g07240	3804	3850	3920	3453	2788	2404
gene:Bcin03g07250	3451	4198	2899	2472	1837	1567
gene:Bcin03g07260	3760	4138	3667	3833	3300	2781
gene:Bcin03g07270	29	25	22	37	14	22
gene:Bcin03g07280	850	1017	817	896	796	702
gene:Bcin03g07290	1810	2008	1979	3229	2351	2075
gene:Bcin03g07300	1091	1325	1064	1295	769	857
gene:Bcin03g07310	11	4	7	10	9	5
gene:Bcin03g07320	3760	5029	1984	238	260	233
gene:Bcin03g07330	184	241	114	61	75	80
gene:Bcin03g07340	308	308	371	4655	5647	4300
gene:Bcin03g07350	75	88	48	282	231	195
gene:Bcin03g07360	8636	6853	5395	54	42	25
gene:Bcin03g07370	1021	939	951	2048	2658	1704
gene:Bcin03g07380	823	787	888	594	879	519
gene:Bcin03g07390	11048	16056	7999	9095	6207	4009
gene:Bcin03g07400	585	667	566	484	355	316
gene:Bcin03g07410	562	639	495	270	323	269
gene:Bcin03g07420	3857	4406	3472	4610	6764	4411
gene:Bcin03g07430	311	353	300	407	360	264
gene:Bcin03g07440	345	437	320	606	656	507
gene:Bcin03g07450	152	149	116	164	156	81
gene:Bcin03g07460	10760	11218	9880	17045	16805	13582
gene:Bcin03g07470	579	619	518	731	571	506
gene:Bcin03g07480	2656	2773	2274	2469	2701	2197
gene:Bcin03g07490	730	787	687	924	728	644
gene:Bcin03g07500	1174	1234	1138	1269	1008	911
gene:Bcin03g07510	759	832	653	522	480	468
gene:Bcin03g07520	605	601	501	594	408	335
gene:Bcin03g07530	10787	10324	8274	4552	5661	4425
gene:Bcin03g07540	758	840	471	551	441	418
gene:Bcin03g07550	51	68	33	154	83	82
gene:Bcin03g07560	240	268	215	250	164	164
gene:Bcin03g07570	528	581	512	1036	1174	927
gene:Bcin03g07580	130	143	98	108	95	75
gene:Bcin03g07590	53	71	47	87	61	50
gene:Bcin03g07600	160	152	153	183	122	132
gene:Bcin03g07610	85	108	97	107	70	75
gene:Bcin03g07620	145	150	118	144	82	109
gene:Bcin03g07630	23295	24611	20607	38044	31966	28588
gene:EFBcG00000013272	16	11	15	37	27	19
gene:Bcin03g07640	409	466	398	372	284	242
gene:Bcin03g07650	12	10	9	13	15	12
gene:Bcin03g07660	909	1013	645	531	408	376
gene:Bcin03g07670	3517	4928	755	1450	913	673
gene:Bcin03g07680	1	0	3	7	6	8
gene:Bcin03g07690	315	312	346	581	562	321
gene:Bcin03g07700	943	949	858	3072	3980	1575
gene:Bcin03g07710	629	807	584	526	535	368
gene:Bcin03g07720	1701	1619	1131	1427	1119	964
gene:Bcin03g07730	49	74	45	125	79	57
gene:Bcin03g07740	2	4	2	4	12	4
gene:Bcin03g07750	77	70	32	34	54	29
gene:Bcin03g07760	2	1	1	1	0	3
gene:Bcin03g07770	4	4	8	7	8	3
gene:Bcin03g07780	9	12	5	9	4	7
gene:Bcin03g07790	12	20	7	13	7	11
gene:Bcin03g07800	227	316	242	213	133	154
gene:Bcin03g07810	203	254	224	318	235	208
gene:Bcin03g07820	2420	2571	2463	1970	2039	1536
gene:Bcin03g07830	18	17	17	28	28	27
gene:Bcin03g07840	0	0	0	0	0	0
gene:Bcin03g07850	15	16	10	177	116	68
gene:Bcin03g07860	4	4	6	11	14	10
gene:Bcin03g07870	19	10	13	16	5	3
gene:Bcin03g07880	937	922	978	2028	2643	1373
gene:Bcin03g07890	1529	1508	1532	1043	1294	622
gene:Bcin03g07900	842	890	769	747	635	502
gene:Bcin03g07910	17372	20638	14345	2105	1488	1253
gene:Bcin03g07920	1373	1507	1275	1313	931	882
gene:Bcin03g07930	1300	1335	1107	1138	889	751
gene:Bcin03g07940	1010	1003	848	1108	732	703
gene:Bcin03g07950	1315	1389	1230	1461	1410	1125
gene:Bcin03g07960	553	608	458	532	312	330
gene:Bcin03g07970	574	632	459	509	323	302
gene:Bcin03g07980	3571	4264	3488	3369	2809	2428
gene:Bcin03g07990	9	8	7	6	9	9
gene:Bcin03g08000	36	56	39	75	97	50
gene:Bcin03g08010	5	9	9	22	22	9
gene:Bcin03g08020	101	97	81	112	150	86
gene:Bcin03g08030	1085	1102	1365	3914	13307	3039
gene:Bcin03g08040	100	98	86	92	78	79
gene:Bcin03g08050	1146	1341	1097	6358	1806	1594
gene:Bcin03g08060	1	1	0	5	4	1
gene:Bcin03g08070	39	64	48	61	45	52
gene:Bcin03g08080	70	65	71	92	196	201
gene:Bcin03g08090	119	153	120	180	123	105
gene:Bcin03g08100	630	560	674	955	1472	958
gene:Bcin03g08110	461	433	545	1241	1646	1178
gene:Bcin03g08120	264	298	187	272	183	116
gene:Bcin03g08130	68	86	56	105	70	70
gene:Bcin03g08140	355	356	345	489	435	335
gene:Bcin03g08150	1357	1222	1069	470	468	429
gene:Bcin03g08160	1083	1241	1028	1026	862	787
gene:Bcin03g08170	813	1249	759	1348	865	670
gene:Bcin03g08180	46	47	35	52	61	26
gene:Bcin03g08190	17	13	8	18	13	14
gene:Bcin03g08200	18	14	6	38	37	17
gene:Bcin03g08210	1	1	1	8	0	2
gene:Bcin03g08220	1292	1542	1055	1136	930	754
gene:Bcin03g08230	19	15	11	4	2	0
gene:Bcin03g08240	5065	5793	4092	5897	4921	4276
gene:Bcin03g08250	102	101	73	125	105	86
gene:Bcin03g08260	4130	4995	4044	4467	3665	3188
gene:Bcin03g08270	7	5	3	6	5	4
gene:Bcin03g08280	36	54	42	25	20	10
gene:Bcin03g08290	368	474	325	363	210	212
gene:Bcin03g08300	6	8	8	5	6	2
gene:Bcin03g08310	0	0	1	0	2	2
gene:Bcin03g08320	0	0	0	0	0	0
gene:Bcin03g08330	0	0	1	0	0	0
gene:Bcin03g08340	159	199	180	131	104	75
gene:Bcin03g08350	1047	1142	955	640	380	413
gene:Bcin03g08360	525	600	510	501	501	404
gene:Bcin03g08370	2404	2784	2483	4351	3625	3020
gene:Bcin03g08380	1537	1829	1242	1257	1127	949
gene:Bcin03g08390	0	0	0	0	2	0
gene:Bcin03g08400	1	4	1	8	8	6
gene:Bcin03g08410	9	6	5	14	7	7
gene:Bcin03g08420	1	5	0	5	0	0
gene:Bcin03g08430	29	26	25	40	19	22
gene:Bcin03g08440	319	346	265	218	218	143
gene:Bcin03g08450	272	305	249	348	222	230
gene:Bcin03g08460	0	0	0	2	0	1
gene:Bcin03g08470	37	30	30	158	184	117
gene:Bcin03g08480	0	0	0	0	0	0
gene:Bcin03g08490	1096	1174	918	896	695	705
gene:Bcin03g08500	98	91	97	93	57	36
gene:Bcin03g08510	1	0	0	3	0	0
gene:Bcin03g08520	2	0	0	3	1	0
gene:Bcin03g08530	152	165	86	368	166	178
gene:Bcin03g08540	0	2	0	2	0	0
gene:Bcin03g08550	0	0	0	0	0	0
gene:Bcin03g08560	0	0	0	0	0	0
gene:Bcin03g08570	5	4	9	54	11	16
gene:Bcin03g08580	0	0	0	1	0	0
gene:Bcin03g08590	1	0	0	0	0	0
gene:Bcin03g08600	254	274	222	274	303	238
gene:Bcin03g08610	451	536	409	545	767	460
gene:Bcin03g08620	29	48	26	58	48	25
gene:Bcin03g08630	59	63	44	38	29	27
gene:Bcin03g08640	100	99	60	64	35	21
gene:Bcin03g08650	88	92	58	138	359	124
gene:Bcin03g08660	831	895	685	601	541	383
gene:Bcin03g08670	413	364	545	218	226	198
gene:Bcin03g08680	846	994	510	861	775	535
gene:Bcin03g08690	174	180	157	243	119	119
gene:Bcin03g08700	2	1	0	0	3	1
gene:EFBcG00000013102	0	0	0	0	0	0
gene:ENSRNA049537349	0	0	0	0	0	0
gene:Bcin03g08710	168	133	87	214	259	189
gene:Bcin03g08720	0	0	0	0	0	0
gene:Bcin03g08730	0	0	0	0	0	0
gene:Bcin03g08740	0	0	0	0	2	0
gene:Bcin03g08750	0	0	0	0	0	0
gene:Bcin03g08760	3	5	1	6	4	1
gene:Bcin03g08770	4	7	2	9	10	2
gene:Bcin03g08780	41	41	29	89	113	67
gene:Bcin03g08790	1	1	1	4	3	2
gene:Bcin03g08800	169	211	204	217	166	147
gene:Bcin03g08810	435	484	385	407	296	269
gene:Bcin03g08820	548	568	625	737	874	605
gene:Bcin03g08830	744	664	730	486	1386	327
gene:Bcin03g08840	68	78	62	381	253	191
gene:Bcin03g08850	657	783	618	782	628	536
gene:Bcin03g08860	417	420	388	348	295	237
gene:Bcin03g08870	0	0	0	0	0	0
gene:Bcin03g08880	1	0	0	0	0	0
gene:Bcin03g08890	0	0	0	0	0	0
gene:Bcin03g08900	0	0	1	0	0	0
gene:Bcin03g08910	118	122	103	82	68	53
gene:Bcin03g08920	57	58	71	45	87	41
gene:Bcin03g08930	66	97	75	111	96	71
gene:Bcin03g08940	9	3	8	8	13	14
gene:Bcin03g08950	3	3	1	18	19	9
gene:Bcin03g08960	0	0	0	3	0	1
gene:Bcin03g08970	0	0	0	0	1	0
gene:Bcin03g08980	4	9	3	8	8	6
gene:Bcin03g08990	11	4	2	12	4	9
gene:Bcin03g09000	5591	6460	5468	3920	4105	3455
gene:Bcin03g09010	27	42	31	31	25	15
gene:Bcin03g09020	3	3	0	1	0	3
gene:Bcin03g09030	7	16	14	22	5	7
gene:Bcin03g09040	9	8	1	19	8	3
gene:Bcin03g09050	1615	1946	925	752	820	679
gene:Bcin03g09060	42	53	34	33	27	11
gene:Bcin03g09070	98	139	59	57	47	42
gene:Bcin03g09080	293	342	229	688	651	458
gene:Bcin03g09090	820	867	797	1422	1530	833
gene:Bcin03g09100	610	791	628	683	418	343
gene:Bcin03g09110	27	34	41	199	132	137
gene:Bcin03g09120	4	7	1	8	3	2
gene:Bcin03g09130	17	12	6	6	21	12
gene:Bcin03g09140	237	253	185	177	163	142
gene:Bcin03g09150	39	49	25	35	59	47
gene:Bcin03g09160	3	1	1	1	4	1
gene:Bcin03g09170	2	1	1	5	1	1
gene:Bcin03g09180	355	407	331	577	484	465
gene:Bcin03g09190	1324	1421	1282	1385	1392	1083
gene:Bcin03g09200	14	19	14	18	13	18
gene:Bcin03g09210	4951	5070	4664	552	242	377
gene:Bcin03g09220	0	1	4	5	0	3
gene:Bcin03g09230	4	5	1	9	2	2
gene:Bcin03g09240	625	614	592	435	390	343
gene:Bcin03g09250	1396	1515	1277	828	693	592
gene:Bcin03g09260	243	280	242	318	218	162
gene:Bcin03g09270	2348	2607	2401	1760	1265	1196
gene:Bcin03g09280	3955	4187	4459	8855	5262	5527
gene:Bcin03g09290	1326	1473	1182	1197	1026	772
gene:EFBcG00000013292	78	82	57	72	50	67
gene:Bcin03g09300	172	161	188	228	176	185
gene:Bcin03g09310	48	50	52	129	144	126
gene:Bcin03g09314	1	2	1	2	1	1
gene:Bcin03g09316	108	156	103	185	455	316
gene:Bcin03g09318	2014	2178	1964	1523	1475	1313
gene:Bcin03g09320	141	161	132	51	56	41
gene:EFBcG00000013145	21491	25892	32627	1068427	3283830	3785021
gene:ENSRNA049511846	12	24	13	116	167	193
gene:EFBcG00000013129	0	0	0	0	0	0
gene:ENSRNA049511891	0	1	0	5	12	9
gene:Bcin04g00010	175	155	146	443	367	316
gene:Bcin04g00020	68	79	44	176	140	138
gene:Bcin04g00030	1004	1195	791	1226	1451	1289
gene:Bcin04g00040	6	11	2	23	32	15
gene:Bcin04g00050	3	5	0	13	5	5
gene:Bcin04g00060	5	3	3	13	7	9
gene:Bcin04g00070	1106	1125	1054	1004	713	664
gene:Bcin04g00080	64	92	57	183	68	53
gene:Bcin04g00090	111	109	81	189	110	98
gene:Bcin04g00100	1737	1947	1540	1217	1062	883
gene:Bcin04g00110	152	241	163	272	192	176
gene:Bcin04g00120	454	563	434	692	638	475
gene:Bcin04g00130	1600	1923	1506	1388	1436	1156
gene:EFBcG00000013370	11	12	10	9	8	7
gene:Bcin04g00140	2151	2047	2389	2314	1970	1780
gene:Bcin04g00150	950	1076	922	880	1046	827
gene:Bcin04g00160	149	147	429	28	135	31
gene:Bcin04g00170	79	122	110	568	235	193
gene:Bcin04g00180	4346	5309	4386	1839	1032	1241
gene:Bcin04g00190	6	2	2	5	5	3
gene:Bcin04g00200	2066	2260	2411	5282	3361	2570
gene:Bcin04g00210	552	748	552	333	166	170
gene:Bcin04g00220	228	257	230	261	200	206
gene:Bcin04g00230	925	1110	903	1039	776	710
gene:Bcin04g00240	611	728	599	848	568	640
gene:Bcin04g00250	809	1062	781	896	430	529
gene:Bcin04g00260	690	738	654	648	416	492
gene:Bcin04g00270	38	42	52	263	507	303
gene:Bcin04g00280	11375	13470	8519	6241	6288	4586
gene:Bcin04g00290	205	233	180	255	258	188
gene:Bcin04g00300	1150	1310	955	705	563	541
gene:Bcin04g00310	0	0	0	0	0	0
gene:Bcin04g00320	2665	3069	2594	2959	2228	2022
gene:Bcin04g00330	1925	1696	1880	1681	1796	1181
gene:Bcin04g00340	5034	5703	4193	4052	3673	2626
gene:Bcin04g00350	10	5	9	9	10	7
gene:Bcin04g00360	68	66	48	41	43	31
gene:Bcin04g00370	882	1073	755	1017	1045	960
gene:Bcin04g00380	188	204	152	234	170	163
gene:Bcin04g00390	971	1118	925	1149	1025	997
gene:Bcin04g00400	1551	1829	1538	1828	1480	1469
gene:Bcin04g00410	612	631	565	696	943	690
gene:Bcin04g00420	7	7	8	16	31	11
gene:Bcin04g00430	223	285	211	220	226	189
gene:Bcin04g00440	1124	1304	1166	1529	1147	1057
gene:Bcin04g00450	3797	4457	3473	3784	4040	2804
gene:Bcin04g00460	18	23	5	16	6	4
gene:Bcin04g00470	589	293	104	7	5	7
gene:Bcin04g00480	0	3	1	1	0	0
gene:Bcin04g00490	299	356	240	277	172	162
gene:Bcin04g00500	0	0	1	0	0	1
gene:Bcin04g00510	0	0	0	0	0	0
gene:Bcin04g00520	1327	1531	1125	864	641	471
gene:Bcin04g00530	2237	2640	1758	1504	1283	1305
gene:Bcin04g00540	21695	22190	19912	34712	30421	26261
gene:Bcin04g00550	2348	2813	2498	3168	2601	2247
gene:Bcin04g00560	1345	1466	1285	1573	1278	1163
gene:Bcin04g00570	3173	3941	2896	4680	3722	2815
gene:Bcin04g00580	2191	2141	2584	3348	1902	1529
gene:Bcin04g00590	147	127	82	139	99	97
gene:Bcin04g00600	809	1041	699	377	397	305
gene:Bcin04g00610	262	273	229	274	191	174
gene:Bcin04g00620	574	658	561	696	512	568
gene:Bcin04g00630	868	1046	658	828	855	640
gene:Bcin04g00640	348	510	197	201	222	179
gene:Bcin04g00650	0	0	0	0	0	0
gene:Bcin04g00660	794	892	647	984	1214	599
gene:Bcin04g00670	42	59	27	104	87	84
gene:Bcin04g00680	0	1	0	1	0	1
gene:Bcin04g00690	0	1	1	0	0	0
gene:Bcin04g00700	42	53	30	42	47	29
gene:Bcin04g00710	122	149	86	179	251	149
gene:Bcin04g00720	85	129	86	53	60	42
gene:Bcin04g00730	88	109	67	82	82	58
gene:Bcin04g00740	204	274	174	103	65	80
gene:Bcin04g00750	168	201	152	99	94	67
gene:Bcin04g00760	8656	9867	8153	1622	1128	997
gene:Bcin04g00770	1137	1194	698	1373	1246	916
gene:Bcin04g00780	455	380	442	4357	4839	3331
gene:Bcin04g00790	658	833	491	708	775	496
gene:Bcin04g00800	991	1131	837	593	619	533
gene:Bcin04g00810	156	174	78	599	828	391
gene:Bcin04g00820	83	91	36	518	585	319
gene:Bcin04g00830	971	1320	675	417	543	404
gene:Bcin04g00840	1	5	1	6	22	10
gene:Bcin04g00850	0	1	1	16	12	8
gene:Bcin04g00860	4	4	6	20	62	20
gene:Bcin04g00870	60	48	18	285	460	57
gene:Bcin04g00880	45	38	15	402	481	84
gene:Bcin04g00890	323	322	232	609	637	400
gene:Bcin04g00900	642	607	335	878	958	805
gene:Bcin04g00910	240	303	151	271	413	212
gene:Bcin04g00920	292	341	178	256	303	232
gene:Bcin04g00930	145	155	123	89	67	69
gene:Bcin04g00940	105	133	63	147	300	122
gene:Bcin04g00950	204	230	132	170	202	155
gene:Bcin04g00960	268	307	219	246	240	187
gene:Bcin04g00970	201	214	168	186	160	120
gene:Bcin04g00980	369	428	274	177	172	131
gene:Bcin04g00990	1	0	0	0	0	0
gene:Bcin04g01000	17	17	13	67	78	46
gene:Bcin04g01010	0	0	0	1	0	0
gene:Bcin04g01020	295	314	162	284	246	184
gene:Bcin04g01030	995	1092	807	745	792	694
gene:Bcin04g01040	490	688	469	388	403	292
gene:Bcin04g01050	5231	5947	5749	7408	7978	3779
gene:Bcin04g01060	877	958	874	1205	1176	895
gene:Bcin04g01070	203	191	216	210	139	167
gene:Bcin04g01080	366	438	530	403	526	237
gene:Bcin04g01090	165	213	109	230	230	93
gene:Bcin04g01100	16	32	17	32	31	15
gene:Bcin04g01110	21	17	13	19	21	10
gene:Bcin04g01120	1328	1567	1263	858	709	550
gene:Bcin04g01130	2192	2239	1928	2817	2458	2029
gene:Bcin04g01140	0	2	0	6	2	0
gene:Bcin04g01150	3490	3836	3379	2970	2136	1794
gene:Bcin04g01160	946	1029	806	686	400	480
gene:Bcin04g01170	316	382	282	341	267	211
gene:Bcin04g01180	17600	17014	14826	14608	15047	12209
gene:Bcin04g01190	812	967	743	596	553	384
gene:Bcin04g01200	16	13	14	12	17	15
gene:Bcin04g01210	2	1	0	1863	2394	1839
gene:Bcin04g01220	0	0	0	178	235	140
gene:Bcin04g01230	3	2	2	192	276	232
gene:Bcin04g01240	43	38	24	106	97	55
gene:Bcin04g01250	1389	1415	1306	1123	1198	960
gene:Bcin04g01260	236	266	230	562	992	630
gene:Bcin04g01270	2168	2459	2078	1917	1439	1314
gene:Bcin04g01280	3316	3657	3483	4093	3477	2843
gene:Bcin04g01290	2655	3216	2504	3057	2759	2360
gene:Bcin04g01300	117	138	119	180	116	96
gene:Bcin04g01310	14367	16371	15155	32350	29852	23181
gene:Bcin04g01320	226	282	269	459	349	311
gene:Bcin04g01330	335	431	355	479	391	318
gene:Bcin04g01340	0	0	2	3	1	0
gene:Bcin04g01350	2	5	1	3	8	4
gene:Bcin04g01360	20	30	7	20	5	8
gene:Bcin04g01370	3	5	2	0	1	1
gene:Bcin04g01380	7	13	9	16	9	6
gene:Bcin04g01390	127	138	82	26	25	30
gene:Bcin04g01400	525	604	373	211	365	218
gene:Bcin04g01410	4119	4652	2141	6292	9662	7407
gene:Bcin04g01420	948	925	863	1448	1239	1030
gene:Bcin04g01430	5176	6055	4363	5336	5615	4184
gene:Bcin04g01440	960	973	797	784	632	546
gene:Bcin04g01450	1476	1638	1263	1735	1108	1161
gene:Bcin04g01460	2148	2309	1585	1930	1549	1173
gene:Bcin04g01470	640	662	547	1011	699	678
gene:Bcin04g01480	2245	2604	2341	3444	1974	1799
gene:Bcin04g01490	1083	1234	1004	1036	925	781
gene:Bcin04g01500	487	550	476	673	661	529
gene:ENSRNA049511828	0	0	0	0	0	0
gene:Bcin04g01510	1247	1536	1138	1548	1163	1151
gene:Bcin04g01520	1532	2292	627	707	443	338
gene:Bcin04g01530	6	3	1	1	6	4
gene:Bcin04g01540	210	211	217	388	345	273
gene:Bcin04g01550	951	1204	1042	1274	978	893
gene:Bcin04g01560	26	31	24	77	52	33
gene:Bcin04g01570	61	79	70	329	149	148
gene:Bcin04g01580	1096	1102	898	876	511	554
gene:Bcin04g01590	1305	1451	1371	1143	995	876
gene:Bcin04g01600	1056	1081	884	604	505	403
gene:Bcin04g01610	501	610	476	471	390	309
gene:Bcin04g01620	243	300	241	308	231	198
gene:Bcin04g01630	1668	1978	1872	1720	1910	1339
gene:Bcin04g01640	6150	5979	5151	2740	4719	2950
gene:Bcin04g01650	143	134	101	335	664	254
gene:Bcin04g01660	5674	7248	4077	5090	4253	3685
gene:Bcin04g01670	2213	2625	2005	1675	1204	1023
gene:Bcin04g01680	1966	2195	2153	1363	1413	1056
gene:Bcin04g01690	1084	999	777	1097	882	687
gene:Bcin04g01700	450	531	398	433	350	330
gene:Bcin04g01710	0	0	0	0	0	0
gene:Bcin04g01720	320	390	296	316	231	217
gene:Bcin04g01730	80	94	64	43	31	41
gene:Bcin04g01740	830	816	712	736	731	695
gene:Bcin04g01750	454	500	401	334	269	261
gene:Bcin04g01760	871	942	940	1131	1088	830
gene:Bcin04g01770	1395	1594	1256	1281	1096	1038
gene:Bcin04g01780	17766	21007	14739	2385	2091	1742
gene:Bcin04g01790	131	133	108	41	22	16
gene:Bcin04g01800	0	0	0	0	0	0
gene:Bcin04g01810	0	0	1	0	0	0
gene:Bcin04g01820	0	2	1	0	0	0
gene:Bcin04g01830	459	580	615	76	80	60
gene:Bcin04g01840	1665	1829	1407	3036	3025	1754
gene:Bcin04g01850	288	401	295	390	265	222
gene:Bcin04g01860	169	217	166	150	149	140
gene:Bcin04g01870	1956	1886	1583	1949	1406	1330
gene:Bcin04g01880	2	4	0	13	14	11
gene:Bcin04g01890	2797	3209	2293	2585	2158	1862
gene:Bcin04g01900	527	537	452	619	544	412
gene:Bcin04g01910	212	229	191	269	277	179
gene:Bcin04g01920	2754	2926	2525	5841	3795	3530
gene:Bcin04g01930	339	367	259	465	365	319
gene:Bcin04g01940	2570	2791	2691	4343	5324	4134
gene:Bcin04g01950	1146	1174	857	825	609	486
gene:Bcin04g01960	1438	1696	1363	1211	1229	888
gene:Bcin04g01970	4	12	2	5	2	5
gene:Bcin04g01980	4	7	5	9	12	5
gene:Bcin04g01990	0	0	0	1	0	1
gene:Bcin04g02000	2	5	2	6	3	3
gene:Bcin04g02010	53	39	25	23	15	11
gene:Bcin04g02020	1213	1291	1258	1209	907	684
